base,digit_length,representation,head[:10],mid[:10],tail[:10],numerator/denominator(B^(L-1))
59,31,6328nPW12wzDD4r6c5yaGLKkviuflt0,6328nPW12w,zDD4r6c5ya,GLKkviuflt,13695210589737506370956947541723911135690752000000000/22631239341402655067784120
60,31,3DhQpy3Gql0koTvVA2JRgM000000000,3DhQpy3Gql,0koTvVA2JR,gM00000000,1686109566350133407852369/461320312500000000000000
61,31,2dLWiG3QSu7xhgzwgzxQy4HB58vrrGL,2dLWiG3QSu,7xhgzwgzxQ,y4HB58vrrG,808017424794512875886459904961710757005754368000000000/3629903255393722006795549
62,31,1mJyvNpIt282DI07e1JGQGvjXvB55e0,1mJyvNpIt2,82DI07e1JG,QGvjXvB55e,24274995754638532834141362126847872000000000/17761887753093897979823770061456102
63,30,RhuSkdpaGknZZvJLHSMW6xCA000000,RhuSkdpaGk,nZZvJLHSMW,6xCA000000,1969733140428648626871580229632000000000/36971119354906439206589160249709810527
64,30,xLE@kgp4Uj@sj5pPMDNUMNg0000000,xLE@kgp4Uj,@sj5pPMDNU,MNg0000000,11482618231106483731969943632999939453125/34028236692093846346337460743176821145
65,30,ly653LqlPL0GC4GVkexhTjc!2ga000,ly653LqlPL,0GC4GVkexh,Tjc!2ga000,188304470411830037530208225462173831400521728/8748372096373426118698083496952056
66,30,dSr8wbeyfDkZ9lH2QYU8ZujmMmEo00,dSr8wbeyfD,kZ9lH2QYU8,ZujmMmEo00,3567306189963918614960384000000000/258044015671293129414870724482393
67,30,8!VLq0QgsKAOnQZ9PKEKqSS!EdRaEe,8!VLq0QgsK,AOnQZ9PKEK,qSS!EdRaEe,808017424794512875886459904961710757005754368000000000/9040017648298964378946202
68,30,5Tzz@%z#0UWBpqvNW4fIJa#S0KM$Y0,5Tzz@%z#0U,WBpqvNW4fI,Ja#S0KM$Y0,675448131241557866586467272529408203125/116126074785250102836142519771394215936
69,30,3TU4T0VNAJo2p$fgGMia%aAlYmbXG0,3TU4T0VNAJ,o2p$fgGMia,%aAlYmbXG0,10075527575577829665339762714607616000000000/26452742292178303939679765539123336
70,30,2zKjsszeNZPBl2S0srhi9S5O000000,2zKjsszeNZ,PBl2S0srhi,9S5O000000,6549868381671289907155890822316032/2610087141044704088497161865234375
71,30,1L5!X9j5$rM59$4d^4Ap39Py^Mm%z0,1L5!X9j5$r,M59$4d^4Ap,39Py^Mm%z0,11380527109781871491358590210728320521207808000000000/68427986989409389818142448
72,30,17X21WShWk4sd4uBNx6g0000000000,17X21WShWk,4sd4uBNx6g,0000000000,3293182746777604312211658203125/2970554341965274237297521328128
