module,value,count
Init.Meta.Defs,8348,2
Init.Meta.Defs,8448,2
Init.Meta.Defs,8527,2
Init.Meta.Defs,10013,1
Init.Meta.Defs,11388,1
Init.Meta.Defs,119964,2
Init.Meta.Defs,120223,2
Init.Meta,1022,11
Init.Meta,1024,2
Init.Conv,0,12
Init.Conv,1,1
Init.Conv,1022,36
Init.Conv,1024,22
Init.While,0,2
Init.While,1,1
Init.While,1022,4
Init.NotationExtra,0,161
Init.NotationExtra,1,215
Init.NotationExtra,2,106
Init.NotationExtra,3,82
Init.NotationExtra,4,30
Init.NotationExtra,5,5
Init.NotationExtra,6,4
Init.NotationExtra,7,3
Init.NotationExtra,8,2
Init.NotationExtra,35,4
Init.NotationExtra,50,1
Init.NotationExtra,51,2
Init.NotationExtra,1022,12
Init.NotationExtra,1024,2
Init.TacticsExtra,0,2
Init.TacticsExtra,1022,4
Init.ByCases,0,1
Init.ByCases,1022,1
Init.RCases,0,12
Init.RCases,1022,6
Init.RCases,1024,9
Init.System.ST,0,11
Init.System.ST,1,11
Init.Data.ToString.Macro,0,1
Init.Data.ToString.Macro,1024,1
Init.Ext,0,3
Init.Ext,1022,3
Init.Ext,1024,1
Init.Data.Bool,0,5
Init.Data.Bool,1,6
Init.Data.Bool,2,1
Init.Data.Bool,33,2
Init.Data.Bool,34,1
Init.Data.Nat.MinMax,0,6
Init.Data.RArray,0,8
Init.Data.RArray,1,10
Init.LawfulBEqTactics,1024,3
Init.Data.Nat.Linear,0,44
Init.Data.Nat.Linear,1,27
Init.Data.Nat.Linear,2,13
Init.Data.Nat.Linear,3,12
Init.Data.Nat.Linear,4,12
Init.Data.Nat.Linear,8,1
Init.Data.Nat.Linear,16,1
Init.Data.Nat.Linear,1000000,1
Init.Data.Nat.Linear,100000000,1
Init.Data.Nat.Log2,0,5
Init.Data.Nat.Log2,1,1
Init.Data.Nat.Log2,2,9
Init.Data.Nat.Power2.Basic,0,2
Init.Data.Nat.Power2.Basic,1,2
Init.Data.Nat.Power2.Basic,2,3
Init.Data.Int.DivMod.Basic,0,20
Init.Data.Int.DivMod.Basic,1,11
Init.Data.Int.DivMod.Basic,2,4
Init.Data.Int.Lemmas,0,56
Init.Data.Int.Lemmas,1,25
Init.Data.Int.Lemmas,2,1
Init.Data.Int.Order,0,258
Init.Data.Int.Order,1,56
Init.Data.Nat.Dvd,0,18
Init.Data.Nat.Dvd,1,5
Init.Data.Int.DivMod.Bootstrap,0,34
Init.Data.Int.DivMod.Bootstrap,1,3
Init.Data.Int.DivMod.Bootstrap,2,2
Init.Omega.Int,0,18
Init.Omega.Int,1,2
Init.Omega.Int,2,2
Init.Data.Nat.Gcd,0,39
Init.Data.Nat.Gcd,1,21
Init.Omega.IntList,0,45
Init.Omega.IntList,1,3
Init.Omega.Coeffs,0,4
Init.Omega.LinearCombo,0,6
Init.Omega.LinearCombo,1,8
Init.Omega.LinearCombo,2,1
Init.Omega.LinearCombo,3,1
Init.Omega.LinearCombo,4,1
Init.Omega.LinearCombo,5,1
Init.Omega.LinearCombo,6,1
Init.Omega.LinearCombo,7,1
Init.Omega.LinearCombo,8,1
Init.Omega.LinearCombo,9,2
Init.Omega.LinearCombo,10,1
Init.Omega.Constraint,0,24
Init.Omega.Constraint,1,5
Init.Omega.Constraint,2,2
Init.Omega.Constraint,14,2
Init.Data.Nat.Mod,0,5
Init.Data.Nat.Mod,1,2
Init.Data.Nat.Mod,2,4
Init.BinderPredicates,0,17
Init.BinderPredicates,1022,14
Init.BinderPredicates,1024,3
Init.Data.Nat.Lemmas,0,244
Init.Data.Nat.Lemmas,1,231
Init.Data.Nat.Lemmas,2,80
Init.Data.Nat.Lemmas,3,3
Init.Data.Nat.Div.Lemmas,0,22
Init.Data.Nat.Div.Lemmas,1,21
Init.Data.Nat.Div.Lemmas,2,1
Init.Data.Nat.Coprime,0,5
Init.Data.Nat.Coprime,1,15
Init.Data.Int.Pow,0,22
Init.Data.Int.Pow,1,11
Init.Data.Int.Pow,2,11
Init.Data.Nat.Bitwise.Lemmas,0,38
Init.Data.Nat.Bitwise.Lemmas,1,38
Init.Data.Nat.Bitwise.Lemmas,2,125
Init.Data.Nat.Power2.Lemmas,0,13
Init.Data.Nat.Power2.Lemmas,1,6
Init.Data.List.BasicAux,0,3
Init.Data.List.BasicAux,12,1
Init.Data.List.BasicAux,13,2
Init.Data.List.BasicAux,59,1
Init.Data.List.BasicAux,75,1
Init.Data.List.BasicAux,94,1
Init.Data.List.BasicAux,1024,1
Init.Data.Nat.SOM,0,14
Init.Data.Nat.SOM,1,18
Init.Data.Nat.SOM,2,12
Init.Data.Nat.SOM,3,11
Init.Data.Nat.Lcm,0,27
Init.Data.Nat.Lcm,1,7
Init.Data.Ord.Basic,0,10
